date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:49	103646/103646	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:38%20GMT	https://grunge.com.tn/images/41.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/41.jpg	(from https://grunge.com.tn/print.html)
15:39:50	3715731/3715731	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:33%20GMT	https://grunge.com.tn/images/34.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/34.jpg	(from https://grunge.com.tn/trade.html)
15:39:51	233739/233739	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:17%20GMT	https://grunge.com.tn/images/42.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/42.jpg	(from https://grunge.com.tn/print.html)
15:39:51	538593/538593	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:17%20GMT	https://grunge.com.tn/images/313.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/313.jpg	(from https://grunge.com.tn/trade.html)
15:39:53	288120/288120	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:45%20GMT	https://grunge.com.tn/images/44.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/44.jpg	(from https://grunge.com.tn/print.html)
15:39:54	2159015/2159015	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:44%20GMT	https://grunge.com.tn/images/43.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/43.jpg	(from https://grunge.com.tn/print.html)
15:39:57	124510/124510	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:47%20GMT	https://grunge.com.tn/images/47.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/47.jpg	(from https://grunge.com.tn/print.html)
15:39:58	54107/54107	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:49%20GMT	https://grunge.com.tn/images/49.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/49.jpg	(from https://grunge.com.tn/print.html)
15:39:58	26372/26372	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:40%20GMT	https://grunge.com.tn/images/410.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/410.jpg	(from https://grunge.com.tn/print.html)
15:39:58	181882/181882	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:47%20GMT	https://grunge.com.tn/images/46.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/46.jpg	(from https://grunge.com.tn/print.html)
15:39:58	30181/30181	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:40%20GMT	https://grunge.com.tn/images/411.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/411.jpg	(from https://grunge.com.tn/print.html)
15:39:59	301029/301029	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:48%20GMT	https://grunge.com.tn/images/48.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/48.jpg	(from https://grunge.com.tn/print.html)
15:40:00	436561/436561	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:46%20GMT	https://grunge.com.tn/images/45.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/45.jpg	(from https://grunge.com.tn/print.html)
15:40:03	629361/629361	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:44%20GMT	https://grunge.com.tn/images/413.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/413.jpg	(from https://grunge.com.tn/print.html)
15:40:03	1605447/1605447	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:46%20GMT	https://grunge.com.tn/images/412.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/412.jpg	(from https://grunge.com.tn/print.html)
15:40:15	1433209/1433209	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:08%20GMT	https://grunge.com.tn/images/417.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/417.jpg	(from https://grunge.com.tn/print.html)
15:40:15	2364025/2364025	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:06%20GMT	https://grunge.com.tn/images/416.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/416.jpg	(from https://grunge.com.tn/print.html)
15:40:19	2780105/2780105	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:55%20GMT	https://grunge.com.tn/images/414.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/414.jpg	(from https://grunge.com.tn/print.html)
15:40:19	2677321/2677321	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:03:59%20GMT	https://grunge.com.tn/images/415.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/415.jpg	(from https://grunge.com.tn/print.html)
15:40:24	1762297/1762297	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:15%20GMT	https://grunge.com.tn/images/418.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/418.jpg	(from https://grunge.com.tn/print.html)
15:40:24	1597177/1597177	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:16%20GMT	https://grunge.com.tn/images/419.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/419.jpg	(from https://grunge.com.tn/print.html)
15:40:25	65753/65753	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:28%20GMT	https://grunge.com.tn/images/422.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/422.jpg	(from https://grunge.com.tn/print.html)
15:40:29	246331/246331	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:30%20GMT	https://grunge.com.tn/images/424.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/424.jpg	(from https://grunge.com.tn/print.html)
15:40:35	2050041/2050041	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:28%20GMT	https://grunge.com.tn/images/421.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/421.jpg	(from https://grunge.com.tn/print.html)
15:40:36	1127806/1127806	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:41%20GMT	https://grunge.com.tn/images/426.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/426.jpg	(from https://grunge.com.tn/print.html)
15:40:37	118944/118944	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:50%20GMT	https://grunge.com.tn/images/51.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/51.jpg	(from https://grunge.com.tn/event.html)
15:40:41	2613753/2613753	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:25%20GMT	https://grunge.com.tn/images/420.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/420.jpg	(from https://grunge.com.tn/print.html)
15:40:41	388985/388985	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:52%20GMT	https://grunge.com.tn/images/53.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/53.jpg	(from https://grunge.com.tn/event.html)
15:40:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2014:40:42%20GMT	https://grunge.com.tn/images54.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images54.6e.delayed	(from https://grunge.com.tn/event.html)
15:40:43	90095/90095	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:52%20GMT	https://grunge.com.tn/images/54.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/54.jpg	(from https://grunge.com.tn/event.html)
15:40:44	309596/309596	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:50%20GMT	https://grunge.com.tn/images/52.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/52.jpg	(from https://grunge.com.tn/event.html)
15:40:47	2032858/2032858	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:04:36%20GMT	https://grunge.com.tn/images/425.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/425.jpg	(from https://grunge.com.tn/print.html)
15:40:49	63687/63687	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:05%20GMT	https://grunge.com.tn/images/58.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/58.jpg	(from https://grunge.com.tn/event.html)
15:40:58	2163000/2163000	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:01%20GMT	https://grunge.com.tn/images/55.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/55.jpg	(from https://grunge.com.tn/event.html)
15:40:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2014:40:59%20GMT	https://grunge.com.tn/images/510.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/510.75.delayed	(from https://grunge.com.tn/event.html)
15:41:03	2815623/2815623	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:12%20GMT	https://grunge.com.tn/images/57.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/57.jpg	(from https://grunge.com.tn/event.html)
15:41:09	2531612/2531612	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:22%20GMT	https://grunge.com.tn/images/59.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/59.jpg	(from https://grunge.com.tn/event.html)
